Epoch,D Loss
0,6.173358345031739
1,3.3477029323577883
2,1.5284887313842774
3,0.5679711401462555
4,0.21364246010780336
5,0.15040499567985535
6,0.20491353869438172
7,0.2507824957370758
8,0.2777241736650467
9,0.27085756659507754
10,0.26103383004665376
11,0.22679612934589385
12,0.18185367584228515
13,0.2232685476541519
14,0.14770301133394242
15,0.13840495347976683
16,0.12600406408309936
17,0.09712715558707714
18,0.12866458520293236
19,0.11522833406925201
20,0.05235824957489967
21,0.03615541532635689
22,-0.007368604093790055
23,0.0015845917165279388
24,-0.04616814330220222
25,-0.06557139456272125
26,-0.14934013187885284
27,-0.1475576341152191
28,-0.18488512933254242
29,-0.19943039417266845
30,-0.23161264061927794
31,-0.26941291689872743
32,-0.30019801259040835
33,-0.1847093790769577
34,-0.13841080218553542
35,-0.11055064052343369
36,-0.15890440791845323
37,-0.10740930438041688
38,-0.14370426163077354
39,-0.08263065814971923
40,-0.08466700986027717
41,-0.10802006199955941
42,-0.06448269709944725
43,-0.0442669078707695
44,-0.06042859777808189
45,-0.03891116455197334
46,-0.02441655471920967
47,-0.02127242013812065
48,-0.03455095216631889
49,0.0018656276166439056
50,0.048059886693954466
51,0.12831541448831557
52,0.1675543323159218
53,0.14463229328393937
54,0.050620834529399875
55,0.008528806269168854
56,-0.07389352321624756
57,-0.1095100224018097
58,-0.10891149267554283
59,-0.0816889949142933
60,-0.044938750192523004
61,-0.0561298705637455
62,-0.00022215396165847778
63,-0.03800427466630936
64,-0.0029772840440273284
65,-0.010969527065753937
66,-0.0564164437353611
67,-0.036902935802936555
68,-0.08240305632352829
69,-0.11185068935155869
70,-0.12960350140929222
71,-0.12318776771426201
72,-0.19283593595027923
73,-0.11815163940191269
74,-0.15469320118427277
75,-0.14928882718086242
76,-0.1007545605301857
77,-0.050712330639362334
78,-0.05101435035467148
79,-0.10708971470594406
80,-0.11434165686368943
81,-0.13762882649898528
82,-0.05171897709369659
83,-0.11913274228572845
84,-0.12122109979391098
85,-0.12742928490042688
86,-0.12807655781507493
87,-0.08616689071059228
88,-0.0876743622124195
89,-0.1482214629650116
90,-0.11368851512670516
91,-0.06336353719234467
92,-0.10364387035369874
93,-0.0568321630358696
94,0.07711236029863358
95,0.09284567683935166
96,0.09360231831669807
97,0.06039244011044502
98,0.03838452994823456
99,0.03619100078940392
100,0.07758822701871396
101,0.07606737315654755
102,0.02461606599390507
103,-0.012603603303432465
104,0.05669488124549389
105,0.001844971626996994
106,0.03994184732437134
107,0.09896301478147507
108,0.0691607303917408
109,0.006376940757036209
110,0.10318354815244675
111,0.05007627084851265
112,0.04673423767089844
113,0.05572392344474793
114,0.02473316714167595
115,0.06942821219563484
116,0.08878766894340515
117,0.043016248196363446
118,0.007923973351716995
119,-0.038748422637581825
120,0.041729063540697095
121,0.07325880862772464
122,0.009003132581710815
123,0.04807711318135262
124,0.016500233113765715
125,0.022601357102394103
126,0.008302762731909752
127,0.08219548985362053
128,0.030363577976822854
129,0.07621209286153316
130,0.0115760937333107
131,0.08291391804814338
132,0.08608588688075543
133,0.02517799139022827
134,0.046116942167282106
135,0.016384232416749002
136,0.10483511909842491
137,0.037616461887955664
138,0.05487252548336983
139,0.03563492298126221
140,0.021101395040750502
141,0.02253660634160042
142,-0.04381187334656715
143,0.04588227085769177
144,0.0031713902950286864
145,-0.04389242902398109
146,0.10198873467743397
147,0.018735529482364656
148,0.01969946324825287
149,0.03430937640368938
